3 431 c:RYB
18.1 17 17 , 14.4  0 18 , 18.3  0  0
21.1 14 15 , 17.4  3 15 , 21.1  2  3
11.3 13 11 , 20.2  6 12 , 16.4  5  5
13.1 11  7 ,  8.1  4 11 , 13.2  8  6
12.3 12  5 ,  4.2  5  9 , 14.4 12  4
15.6  9  4 , 11.8  7  7 , 20.7 15  1
17.2 15  8 , 15.1  8  4 , 19.2 14  6
16.3 17  5 , 19.1  2  7 , 15.2 17  3
10.2  9 15 , 10.2  9  3 , 11.4 11  1
 8.2 15  3 ,  6.4  8  1 ,  9.1 18  0
19.2  6 16 ,  5.2 11  0 , 10.1  6  0
14.1  4 17 , 21.1  0 13 ,  4.1 13  9
 7.2 10 11 ,  3.1  2 10 , 17.4 15 11
 6.6  7 10 , 12.8  9 13 , 12.6 16 14
